[0.36] 家庭環境あるある。
[4.32] 父親が90歳。え、私が今22歳なんです
[8.56] けど、これ単純な空クリですね。両親が
[12.00] 36歳さ、90歳ってどういうバグって
[15.84] 思うかもしれませんが、ま、こういうこと
[18.12] ですね。年のサコンっていうことで、これ
[20.28] は、ま、あるあるかなという感じですね。
[24.28] 家庭環境あるある。親族が進行宗教に系統
[28.52] している。誰がとは言いませんがましたね
[31.88] 。大好きな母の名誉のために。え、母では
[35.52] ないんですけど、よくこんなネックレスを
[38.20] つけたりしてお話を聞きに生かされてまし
[42.24] たね。小学生の放課後なんかは。まあ自由
[46.48] ですからね。自由でいいと思います。続い
[49.44] てのあるある。私2年間結婚式上で
[52.76] アルバイトしてて、結婚式のね、親属席
[56.08] っていうのは大体こういう感じの構図に
[60.40] なるんですけど、こちらが前ですね。自分
[63.24] と1番近しい人間が自分から1番遠い身内
[66.60] ってことでね、1番遠くなるような座席な
[69.92] んですけど、私が結婚式をあげた場合こう
[73.44] なりますね。ま、ちょっと寂しいかなとは
[76.88] 思うんですけど、ま、1人っこなのでこれ
[79.36] はしょうがないかなっていうところです。
[81.88] 家庭環境あるある両親掛け落ちの国際結婚
[86.20] がちっていうことで、ま、これもある。
[91.48] こことここが、ま、組み合わさってこう
[94.88] いう感じになってるんですけど、これの
[97.80] 関係もあって結婚式こうなっちゃうんか
[101.56] なっていうね。最後ですね。こればっかり
[105.12] はちょっと私がね、かわいそうっていう話
[107.88] になっちゃうんですけど、父親のお墓の
[110.80] 場所知らないがち。え、これね、3つ目の
[113.60] あるあるの伏線回収みたいになっちゃって
[116.08] て、ちょっと怖いんですけど、これ本当に
[118.64] 知らなくて、ちょっと知ってる人がいたら
[122.28] 教えて欲しいなっていう感じの動画ですね
[125.28] 。これは番外編としてこちらがあるかなっ
[128.72] て感じですね。以上です。ございます。
