[0.00] 今天我们来讲讲大名鼎鼎的Codex
[2.70] 相信大家都已经听说过这个软件了
[5.16] 这是OpenAI的核心产品
[6.76] 对标Anthropic的Claude Code
[8.52] Codex能做的事情非常多
[10.38] 它不仅能够帮你编写代码
[12.02] 排查bug
[12.76] 执行测试
[13.56] 还能管理 Git
[14.60] 操作浏览器
[15.50] 甚至能直接控制电脑完成各种任务
[17.98] 非常强大
[18.68] 不过功能越多
[19.82] 越容易让人抓不住重点
[21.38] 所以这期视频
[22.50] 我会带大家系统性的过一遍
[24.44] Codex最核心的功能
[25.80] 帮大家建立起一套完整的使用思路
[28.78] 整个视频一共分为三个部分
[30.68] 第一部分是基础篇
[32.40] 主要带大家快速上手Codex
[34.46] 并讲解一些核心配置
[36.20] 和使用过程中容易踩坑的地方
[38.14] 第二部分是进阶篇
[40.04] 重点介绍版本控制
[41.68] 会话管理
[42.40] 以及如何更高效的组织
[44.02] 和推进开发任务
[45.12] 第三部分是扩展篇
[46.96] 我们会看看如何通过plugin
[49.02] skill
[49.48] automation和mobile等功能
[51.04] 进一步扩展Codex的能力边界
[53.64] 所有的功能点和对应的时间戳
[55.36] 我都打到目录上了
[56.42] 大家可以按需调整
[57.66] 好
[58.18] 话不多说
[58.94] 我们现在开始
[61.16] 首先我们要做的是
[62.26] 把Codex安装到电脑上面
[64.10] 我们可以打开这个页面
[66.44] 点击这里面的下载按钮
[68.06] 就可以下载Codex了
[69.36] 下载好了之后
[70.24] 我们来打开它
[71.34] 安装过程跟其他的普通软件一样
[74.28] 比如我用的是macOS
[75.96] 直接把Codex拖入到
[77.90] applications文件夹里面
[79.20] 就可以完成安装了
[82.36] 安装好了之后
[83.26] 我们来打开Codex
[85.78] 打开Codex之后
[86.86] 它首先会提示我们登录
[88.78] 它一共给了我们两个选项
[90.76] 第一个是使用ChatGPT账号登录
[93.58] 这需要你订阅ChatGPT的套餐
[95.68] ChatGPT它提供了多种套餐
[98.24] 其中最常用的是
[99.68] 我屏幕上面显示的这几个
[101.62] 主要是包括免费版
[103.52] Go套餐
[104.38] Plus套餐和Pro套餐
[106.58] 你看屏幕上面的这几个套餐
[108.24] 从左到右价格越来越高
[110.26] 当然整体能用的Codex额度
[112.12] 也是越来越大的
[113.42] 从目前来看
[114.40] 免费版和Go套餐的Codex额度
[116.32] 应该差不多
[116.80] 但到了Plus套餐
[118.16] 额度就会有着明显的上升
[119.62] Pro套餐自然就更多了
[121.44] 值得一提的是
[122.42] 即使你用的是免费版
[123.92] 系统也会给你一定的Codex额度
[125.86] 只不过这个额度少得可怜
[127.64] 只能勉强够你试个水
[129.72] 所以如果你想真正上手
[131.44] 体验一下它的能力
[132.42] 我建议你先订阅Plus这个Plan
[134.60] 它是20美元一个月
[136.36] 可用量比较适中
[138.36] 除了订阅套餐之外
[139.76] OpenAI还提供了
[140.88] 另外一个选项来使用Codex
[142.48] 那就是直接进入API
[144.24] 对应的就是这里的
[145.36] Sign in another way
[146.78] 点击之后
[147.56] 它会提示你
[148.50] 输入OpenAI的API Key
[149.80] 一般来说
[150.94] 用API没有订阅套餐划算
[152.72] 而且获取这个API Key的门槛
[155.02] 也有点高
[155.62] 一般需要一张海外的信用卡
[157.82] 所以我建议大家
[158.92] 还是订阅套餐来使用Codex
[161.30] 具体的登录过程
[162.36] 我这里就不显示了
[163.68] 大家可以在这里选择
[165.14] 适合自己的方式登录
[167.36] 登录好了之后
[168.44] 大家首先看到的
[169.86] 就会是这样的一个界面
[171.18] Codex首先会询问
[172.94] 我们是干什么工作的
[174.42] 这里大家就按照实际情况
[176.54] 来选就可以了
[177.34] 然后Codex会提示
[178.84] 把Claude Code和Cursor
[180.48] 相关的配置
[181.44] 都导入到Codex
[182.36] 这里我们先跳过
[184.00] 然后Codex提示我们
[185.34] 要不要试用Codex手机版
[187.08] 我们点击这个Setup Later
[189.64] 待会我会给大家演示这个功能
[191.66] 所以现在先不着急
[193.78] 现在我们就算是
[195.00] 正式的来到了Codex操作界面
[197.00] 可以开始使用它了
[198.26] 我们来随便跟它打个招呼
[200.04] 看看能否正常使用
[204.94] 可以看出Codex
[206.04] 已经可以正常使用了
[208.04] 下面我带大家做一个代办软件
[210.40] 并且在做代办软件过程中
[212.22] 为大家讲解Codex的
[213.54] 各个功能点
[214.64] 首先我们要新建一个目录
[216.36] 来存放我们的软件代码
[217.94] 让我们打开访达
[219.56] 在这里创建一个新的文件夹
[221.94] 就叫做马克笔记
[224.78] 然后回到Codex这里
[226.36] 点击Work in the Project
[229.42] 再点击Use an existing folder
[232.72] 在弹出的对话框里面
[234.20] 选择我们刚刚创建好的文件夹
[236.50] 然后再点击Open
[238.52] 然后你就会发现Codex
[239.96] 把项目目录改成马克笔记了
[242.32] 这就代表Codex后面
[243.70] 会把代码放到这个文件夹里面
[245.72] 此时我们准备工作
[247.54] 就已经是做完了
[248.54] 可以开始提需求了
[249.84] 比如说我们的需求就是
[251.90] 使用HTML写一个笔记软件
[253.90] 软件界面分为左右两部分
[256.12] 左边是笔记列表
[257.30] 右边是笔记的内容
[259.44] 最后我们提醒它注意做好测试
[261.86] 然后回车提交
[264.08] 这个时候Codex就会开始工作了
[266.32] 可以看出它在疯狂的给我们写代码
[268.14] 当然实际使用是没这么快的
[270.10] 因为为了节省大家时间
[271.42] 这里我做了加速
[272.62] 后面的问答流程
[273.78] 也都做了不同程度的加速处理
[276.18] 这个大家知道就好了
[278.10] 好Codex暂停了
[279.42] 它提出它想要构建一个本地服务器
[282.08] 来验证HTML笔记的效果
[284.32] 这里有三个选项
[285.76] 第一个选项是Yes
[287.38] 这个很好理解
[288.54] 其实就是把本地服务器
[290.48] 启动开就可以了
[291.36] 不过以后如果Codex提出类似的请求
[294.26] 我们还得再授权一次
[296.34] 第二个选项是代表我们不仅同意
[298.84] 而且对于这种启动本地服务器的代码
[301.60] 以后也就直接执行就好了
[303.48] 不需要再经过我们授权了
[305.38] 第三个选项可以理解为不同意
[307.48] 它其实不是一个按钮
[308.86] 而是一个输入框
[310.38] 我们点一下就能看出来了
[311.92] 在这里我们可以告诉Codex
[313.80] 自己希望的处理方式
[315.18] 比如只让它检查代码
[316.74] 不要启动本地服务器之类的
[319.12] 当然如果你不同意
[321.06] 而且你懒得告诉Codex原因的话
[323.40] 也可以直接点击这里面的skip按钮
[326.66] 这算是Codex做了弱化的第四选项了
[329.36] 好所有的可选项我们都说完了
[331.54] 在这个地方我们就选择第一项
[333.62] Yes就好了
[337.44] 然后Codex就询问我们能不能访问
[339.74] 新创建的本地服务器
[341.36] 这个地方我们也同意
[358.86] 现在Codex已经彻底完成它的工作了
[361.38] 可以看出这里面最重要的文件
[363.14] 就是这个index.html
[365.08] 我们可以点击来预览它的效果
[368.46] 这个就是Codex写的笔记软件了
[370.72] 看起来中规中矩
[372.08] 各种基本功能在这里面都能找到
[374.60] 当然有些人可能觉得
[376.00] 这个预览区太小了
[377.34] 想要放大一点
[378.00] 这当然是可以做到的
[379.54] 让我们来点击这个
